,index,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,84.3,91.7,91.7,106.0,106.0,154.0,183.0,293.0,330.0,385.0,414.0,491.0,689.0,707.0,839.0,1010.0,1090.0,1280.0,1220.0,942.0,1670.0,1900.0,1530.0,1640.0,1920.0,2130.0,1990.0,2390.0,2160.0,2240.0,1760.0,1980.0,2100.0,2520.0,2820.0,3500.0,3140.0,3120.0,2860.0,2770.0,2600.0,2430.0,1380.0,1330.0,1280.0,1230.0,1170.0,1090.0,1030.0,810.0,769.0,813.0,1060.0,1210.0,909.0,1320.0,1640.0,2270.0,4200.0,6770.0,8460.0,12200.0,10800.0,9040.0,8460.0,9030.0,8660.0,8980.0,9450.0
1,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,7.33,18.3,128.0,297.0,348.0,433.0,693.0,627.0,744.0,462.0,154.0,121.0,484.0,928.0,704.0,1020.0,297.0,403.0,374.0,414.0,502.0,664.0,840.0,1510.0,1200.0,1440.0,2020.0,2280.0,2460.0,2080.0,2020.0,2170.0,2550.0,2680.0,3070.0,3250.0,3740.0,4350.0,5640.0,5290.0,4350.0,4590.0,4950.0,5720.0,6490.0,7590.0,5170.0,7340.0,7310.0,7630.0,7830.0,7880.0,8060.0,7440.0,7330.0,8980.0,5520.0,4290.0,2520.0,2340.0,1930.0,2090.0,2020.0,1540.0,1750.0,2980.0,3020.0,3220.0,3750.0,4290.0,4170.0,4250.0,3900.0,3930.0,4370.0,4380.0,4600.0,5240.0,4920.0,4910.0,5490.0,4620.0,4540.0,4660.0,4570.0
2,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,7.33,18.3,18.3,22.0,25.7,25.7,14.7,29.3,33.0,40.3,58.7,73.3,80.7,84.3,99.0,114.0,121.0,139.0,132.0,51.3,69.7,33.0,161.0,238.0,312.0,499.0,469.0,499.0,616.0,763.0,744.0,803.0,909.0,3790.0,4140.0,3890.0,4000.0,4160.0,4610.0,5000.0,5540.0,5220.0,5660.0,6160.0,6060.0,5670.0,5420.0,5650.0,6590.0,8430.0,8440.0,9060.0,11300.0,15100.0,18700.0,28300.0,38300.0,31900.0,32000.0,39200.0,41900.0,62500.0,45600.0,66500.0,46400.0,39200.0,52500.0,71000.0,72700.0,76100.0,84000.0,83800.0,79900.0,76800.0,78900.0,79900.0,82000.0,86200.0,95100.0,96900.0,87100.0,107000.0,91700.0,87500.0,83800.0,89500.0,91100.0,87900.0,107000.0,100000.0,108000.0,109000.0,120000.0,118000.0,120000.0,128000.0,133000.0,143000.0,151000.0,148000.0,147000.0,156000.0
3,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,407.0,407.0,411.0,407.0,425.0,455.0,466.0,491.0,513.0,524.0,524.0,532.0,535.0,561.0,576.0,546.0,539.0,539.0,517.0,517.0,491.0,488.0,477.0,462.0,466.0,469.0,483.0,471.0
4,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,249.0,312.0,275.0,348.0,414.0,502.0,620.0,594.0,619.0,549.0,454.0,1180.0,1150.0,1220.0,1190.0,1550.0,993.0,1670.0,2790.0,3580.0,3410.0,4500.0,4880.0,4870.0,4410.0,3280.0,3530.0,5400.0,5490.0,5340.0,5270.0,4640.0,5100.0,4990.0,4680.0,4640.0,5790.0,5050.0,4930.0,5090.0,5070.0,5170.0,5750.0,3870.0,11000.0,10400.0,7350.0,7280.0,9140.0,9520.0,9680.0,12600.0,9000.0,18700.0,19000.0,22100.0,25000.0,25500.0,27600.0,28900.0,30400.0,33800.0,33300.0,44300.0,34000.0,34100.0,34100.0,34600.0
5,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.3,29.3,36.7,47.7,103.0,84.3,91.7,150.0,348.0,565.0,990.0,1260.0,462.0,425.0,374.0,330.0,429.0,708.0,403.0,466.0,491.0,407.0,143.0,106.0,293.0,84.3,147.0,249.0,249.0,275.0,286.0,286.0,282.0,268.0,264.0,271.0,268.0,275.0,293.0,308.0,319.0,330.0,345.0,348.0,370.0,403.0,422.0,429.0,444.0,469.0,480.0,510.0,524.0,513.0,524.0,524.0,528.0,546.0,557.0,562.0,566.0
6,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,891.0,1760.0,1370.0,939.0,1390.0,1550.0,1990.0,2270.0,2310.0,2080.0,2350.0,2920.0,2070.0,2490.0,2820.0,2860.0,3800.0,3990.0,6260.0,6260.0,7620.0,5940.0,8910.0,9950.0,9490.0,10200.0,8680.0,6950.0,4990.0,2230.0,2520.0,3730.0,5900.0,5540.0,7300.0,8450.0,11000.0,11200.0,11300.0,13400.0,12800.0,13100.0,12800.0,12900.0,13100.0,13200.0,14300.0,14000.0,15100.0,16700.0,16400.0,17400.0,15900.0,14000.0,13500.0,14100.0,14000.0,13700.0,13700.0,14500.0,17400.0,15400.0,30000.0,35000.0,36100.0,35200.0,36800.0,39600.0,44300.0,47700.0,44200.0,49000.0,48800.0,51200.0,53700.0,50100.0,55700.0,58900.0,63100.0,65500.0,69100.0,77300.0,82700.0,88900.0,90100.0,94000.0,95500.0,94900.0,99700.0,101000.0,103000.0,111000.0,109000.0,102000.0,103000.0,105000.0,106000.0,100000.0,104000.0,115000.0,121000.0,117000.0,112000.0,117000.0,121000.0,118000.0,122000.0,128000.0,135000.0,138000.0,139000.0,147000.0,142000.0,133000.0,124000.0,135000.0,157000.0,162000.0,175000.0,174000.0,188000.0,179000.0,187000.0,190000.0,192000.0,192000.0,195000.0,200000.0,200000.0,200000.0,196000.0
7,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0384,0.0256,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.8440000000000001,0.895,1.18,1.5,1.36,1.42,1.59,1.52,4.81,5.52,4.59,6.23,6.76,9.12,9.36,8.79,10.7,12.3,15.2,15.6,20.3,20.9,24.5,25.8,27.2,30.9,31.4,34.2,35.1,37.1,38.7,41.8,47.3,52.1,55.1,64.6,65.8,75.6,77.0,89.0,99.9,116.0,131.0,135.0,130.0,127.0,142.0,126.0,144.0,161.0,162.0,172.0,168.0,174.0,198.0,215.0,194.0,178.0,189.0,174.0,69.5,59.4,54.2,58.7,71.6,79.1,94.3,93.1,135.0,168.0,186.0,201.0,273.0,328.0,369.0,412.0,499.0,565.0,648.0,662.0,699.0,707.0,848.0,745.0,513.0,655.0,613.0,649.0,730.0,878.0,935.0,1060.0,1180.0,1280.0,1370.0,1450.0,1590.0,1800.0,1970.0,2160.0,2310.0,6920.0,7210.0,7440.0,7810.0,8380.0,8920.0,9460.0,10000.0,10500.0,10800.0,11200.0,11800.0,12500.0,13200.0,13800.0,14300.0,15000.0,15600.0,16100.0,16700.0,16800.0,17500.0,17200.0,17500.0,17800.0,17900.0,19300.0,19400.0,19300.0,19800.0,19400.0,18100.0,18800.0,5860.0,2580.0,2720.0,3440.0,2590.0,3270.0,3400.0,3050.0,3490.0,3540.0,3080.0,3460.0,3690.0,4380.0,4410.0,5100.0,5580.0,4370.0,4260.0,4970.0,5750.0,5540.0,5560.0,4840.0,5180.0,5010.0,5580.0
8,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,510.0,356.0,400.0,268.0,422.0,697.0,895.0,733.0,642.0,601.0,693.0,708.0,869.0,891.0,829.0,931.0,1070.0,968.0,1460.0,2210.0,1770.0,2010.0,2430.0,2570.0,2910.0,2890.0,3040.0,3530.0,3430.0,3550.0,4010.0,4150.0,3970.0,4360.0,4590.0,4510.0,4980.0,5620.0,5790.0,10200.0,11400.0,11400.0,11200.0,11600.0,12100.0,14400.0,15500.0,16800.0,14600.0,17500.0,19300.0,20800.0,22400.0,24500.0,21800.0,19300.0,20800.0,23000.0,21800.0,25800.0,23200.0,24400.0,24900.0,27100.0,28300.0,27900.0,28900.0,26300.0,23700.0,22000.0,19600.0,20400.0,21600.0,22700.0,25300.0,27100.0,28900.0,28100.0,32200.0,29100.0,34600.0,36500.0,35000.0,34200.0,32700.0,35500.0,38000.0,38500.0,37700.0,54800.0,59100.0,60300.0,59500.0,67900.0,70700.0,73100.0,74600.0,77700.0,83800.0,88200.0,90600.0,94900.0,101000.0,109000.0,121000.0,120000.0,129000.0,135000.0,142000.0,148000.0,153000.0,157000.0,171000.0,172000.0,176000.0,174000.0,188000.0,202000.0,205000.0,221000.0,230000.0,234000.0,225000.0,237000.0,241000.0,240000.0,256000.0,261000.0,278000.0,279000.0,280000.0,285000.0,289000.0,294000.0,306000.0,313000.0,321000.0,335000.0,344000.0,350000.0,358000.0,363000.0,370000.0,384000.0,387000.0,393000.0,401000.0,405000.0,409000.0,407000.0,405000.0,407000.0,398000.0,394000.0,403000.0,413000.0,417000.0,421000.0
9,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,334.0,359.0,367.0,348.0,400.0,403.0,458.0,477.0,458.0,477.0,495.0,480.0,513.0,429.0,587.0,634.0,675.0,708.0,851.0,1060.0,1170.0,1320.0,1460.0,1270.0,1600.0,1800.0,2120.0,2080.0,2340.0,2260.0,2330.0,2340.0,2810.0,3230.0,3180.0,3700.0,4240.0,4880.0,7250.0,5870.0,6150.0,6380.0,6360.0,5880.0,5080.0,5360.0,3600.0,4920.0,6080.0,6490.0,7370.0,10200.0,10000.0,10700.0,9160.0,7870.0,8100.0,7290.0,7250.0,8870.0,23700.0,10300.0,10600.0,11800.0,11500.0,12100.0,11400.0,12300.0,12000.0,12900.0,13000.0,15000.0,14500.0,17700.0,18100.0,20400.0,21300.0,23000.0,24500.0,24800.0,27700.0,28400.0,25700.0,25600.0,26900.0,28100.0,33600.0,42200.0,59000.0,42200.0,57600.0,48100.0,50000.0,59700.0,48900.0,34900.0,8040.0,3450.0,3340.0,3020.0,14500.0,19400.0,18600.0,17800.0,20100.0,19000.0,18600.0,20100.0,21200.0,24200.0,18900.0,18100.0,15200.0,14200.0,13800.0,13900.0,13600.0,15300.0,5790.0,6340.0,7350.0,7980.0,8560.0,9620.0,9400.0,4570.0,12800.0,17600.0,24500.0,26600.0,20900.0,23300.0,22100.0,21700.0,24500.0,29100.0,28200.0,29200.0,28100.0,27900.0,30800.0,31900.0,33900.0,37000.0,38900.0,38200.0,39200.0,39900.0,42300.0,44700.0,50700.0,52100.0,56100.0,60100.0,57300.0,54300.0,58300.0,56000.0,57300.0,61400.0,52100.0,55900.0,53600.0,51700.0,54300.0,54400.0,53800.0,57400.0,53000.0,53700.0,62400.0,66000.0,60500.0,60900.0,61200.0,64300.0,67700.0,67500.0,67100.0,65800.0,66400.0,70300.0,72200.0,77900.0,78000.0,79500.0,77100.0,74500.0,73800.0,67800.0,72300.0,70200.0,67600.0,68200.0,64500.0,66800.0,67400.0,70000.0,68900.0
